mission,mss_id,tm_id,roi_id
L4,LANDSAT/LT04/C02/T2/LT04_043028_19821208,LANDSAT/LM04/C02/T2/LM04_043028_19821208,ROI_0192
L4,LANDSAT/LT04/C02/T2/LT04_043028_19830109,LANDSAT/LM04/C02/T2/LM04_043028_19830109,ROI_0192
L4,LANDSAT/LT04/C02/T2/LT04_044027_19830116,LANDSAT/LM04/C02/T2/LM04_044027_19830116,ROI_0192
L4,LANDSAT/LT04/C02/T2/LT04_044027_19830201,LANDSAT/LM04/C02/T2/LM04_044027_19830201,ROI_0192
L4,LANDSAT/LT04/C02/T2/LT04_080011_19920613,LANDSAT/LM04/C02/T2/LM04_080011_19920613,ROI_0193
L4,LANDSAT/LT04/C02/T2/LT04_080011_19920816,LANDSAT/LM04/C02/T2/LM04_080011_19920816,ROI_0193
L4,LANDSAT/LT04/C02/T2/LT04_018019_19830126,LANDSAT/LM04/C02/T2/LM04_018019_19830126,ROI_0198
L4,LANDSAT/LT04/C02/T2/LT04_019019_19830202,LANDSAT/LM04/C02/T2/LM04_019019_19830202,ROI_0198
L4,LANDSAT/LT04/C02/T2/LT04_020031_19830108,LANDSAT/LM04/C02/T2/LM04_020031_19830108,ROI_0201
L4,LANDSAT/LT04/C02/T2/LT04_020031_19840315,LANDSAT/LM04/C02/T2/LM04_020031_19840315,ROI_0201
L4,LANDSAT/LT04/C02/T2/LT04_020031_19920524,LANDSAT/LM04/C02/T2/LM04_020031_19920524,ROI_0201
L4,LANDSAT/LT04/C02/T2/LT04_020032_19830209,LANDSAT/LM04/C02/T2/LM04_020032_19830209,ROI_0201
L4,LANDSAT/LT04/C02/T2/LT04_020032_19840315,LANDSAT/LM04/C02/T2/LM04_020032_19840315,ROI_0201
L4,LANDSAT/LT04/C02/T2/LT04_018030_19830110,LANDSAT/LM04/C02/T2/LM04_018030_19830110,ROI_0202
L4,LANDSAT/LT04/C02/T2/LT04_019029_19821114,LANDSAT/LM04/C02/T2/LM04_019029_19821114,ROI_0202
L4,LANDSAT/LT04/C02/T2/LT04_019029_19821216,LANDSAT/LM04/C02/T2/LM04_019029_19821216,ROI_0202
L4,LANDSAT/LT04/C02/T2/LT04_019029_19830101,LANDSAT/LM04/C02/T2/LM04_019029_19830101,ROI_0202
L4,LANDSAT/LT04/C02/T2/LT04_019029_19830202,LANDSAT/LM04/C02/T2/LM04_019029_19830202,ROI_0202
L4,LANDSAT/LT04/C02/T2/LT04_019030_19821114,LANDSAT/LM04/C02/T2/LM04_019030_19821114,ROI_0202
L4,LANDSAT/LT04/C02/T2/LT04_019030_19821216,LANDSAT/LM04/C02/T2/LM04_019030_19821216,ROI_0202
L4,LANDSAT/LT04/C02/T2/LT04_019030_19830101,LANDSAT/LM04/C02/T2/LM04_019030_19830101,ROI_0202
L4,LANDSAT/LT04/C02/T2/LT04_019030_19830202,LANDSAT/LM04/C02/T2/LM04_019030_19830202,ROI_0202
L4,LANDSAT/LT04/C02/T2/LT04_024031_19821203,LANDSAT/LM04/C02/T2/LM04_024031_19821203,ROI_0203
L4,LANDSAT/LT04/C02/T2/LT04_027032_19830125,LANDSAT/LM04/C02/T2/LM04_027032_19830125,ROI_0204
L4,LANDSAT/LT04/C02/T2/LT04_027032_19830210,LANDSAT/LM04/C02/T2/LM04_027032_19830210,ROI_0204
L4,LANDSAT/LT04/C02/T2/LT04_159011_19880409,LANDSAT/LM04/C02/T2/LM04_159011_19880409,ROI_0210
L4,LANDSAT/LT04/C02/T2/LT04_159011_19880628,LANDSAT/LM04/C02/T2/LM04_159011_19880628,ROI_0210
L4,LANDSAT/LT04/C02/T2/LT04_159011_19880815,LANDSAT/LM04/C02/T2/LM04_159011_19880815,ROI_0210
L4,LANDSAT/LT04/C02/T2/LT04_161011_19880914,LANDSAT/LM04/C02/T2/LM04_161011_19880914,ROI_0210
L4,LANDSAT/LT04/C02/T2/LT04_159025_19880409,LANDSAT/LM04/C02/T2/LM04_159025_19880409,ROI_0237
L4,LANDSAT/LT04/C02/T2/LT04_159025_19890514,LANDSAT/LM04/C02/T2/LM04_159025_19890514,ROI_0237
L4,LANDSAT/LT04/C02/T2/LT04_163025_19880912,LANDSAT/LM04/C02/T2/LM04_163025_19880912,ROI_0239
L4,LANDSAT/LT04/C02/T2/LT04_163025_19890510,LANDSAT/LM04/C02/T2/LM04_163025_19890510,ROI_0239
L4,LANDSAT/LT04/C02/T2/LT04_163025_19890915,LANDSAT/LM04/C02/T2/LM04_163025_19890915,ROI_0239
L4,LANDSAT/LT04/C02/T2/LT04_163025_19900513,LANDSAT/LM04/C02/T2/LM04_163025_19900513,ROI_0239
L4,LANDSAT/LT04/C02/T2/LT04_164025_19890517,LANDSAT/LM04/C02/T2/LM04_164025_19890517,ROI_0239
L4,LANDSAT/LT04/C02/T2/LT04_168026_19890105,LANDSAT/LM04/C02/T2/LM04_168026_19890105,ROI_0240
L4,LANDSAT/LT04/C02/T2/LT04_183026_19880604,LANDSAT/LM04/C02/T2/LM04_183026_19880604,ROI_0242
L4,LANDSAT/LT04/C02/T2/LT04_183026_19890810,LANDSAT/LM04/C02/T2/LM04_183026_19890810,ROI_0242
L4,LANDSAT/LT04/C02/T2/LT04_183026_19890911,LANDSAT/LM04/C02/T2/LM04_183026_19890911,ROI_0242
L4,LANDSAT/LT04/C02/T2/LT04_183026_19910731,LANDSAT/LM04/C02/T2/LM04_183026_19910731,ROI_0242
L4,LANDSAT/LT04/C02/T2/LT04_183030_19881127,LANDSAT/LM04/C02/T2/LM04_183030_19881127,ROI_0243
L4,LANDSAT/LT04/C02/T2/LT04_195024_19890611,LANDSAT/LM04/C02/T2/LM04_195024_19890611,ROI_0246
L4,LANDSAT/LT04/C02/T2/LT04_204023_19890306,LANDSAT/LM04/C02/T2/LM04_204023_19890306,ROI_0248
L4,LANDSAT/LT04/C02/T2/LT04_181026_19880622,LANDSAT/LM04/C02/T2/LM04_181026_19880622,ROI_0252
L4,LANDSAT/LT04/C02/T2/LT04_181026_19881129,LANDSAT/LM04/C02/T2/LM04_181026_19881129,ROI_0252
L4,LANDSAT/LT04/C02/T2/LT04_181026_19890508,LANDSAT/LM04/C02/T2/LM04_181026_19890508,ROI_0252
L4,LANDSAT/LT04/C02/T2/LT04_172056_19880927,LANDSAT/LM04/C02/T2/LM04_172056_19880927,ROI_0262
L4,LANDSAT/LT04/C02/T2/LT04_138044_19910602,LANDSAT/LM04/C02/T2/LM04_138044_19910602,ROI_0274
L4,LANDSAT/LT04/C02/T2/LT04_161023_19880525,LANDSAT/LM04/C02/T2/LM04_161023_19880525,ROI_0292
L4,LANDSAT/LT04/C02/T2/LT04_161023_19880712,LANDSAT/LM04/C02/T2/LM04_161023_19880712,ROI_0292
L4,LANDSAT/LT04/C02/T2/LT04_161023_19880813,LANDSAT/LM04/C02/T2/LM04_161023_19880813,ROI_0292
L4,LANDSAT/LT04/C02/T2/LT04_171033_19890227,LANDSAT/LM04/C02/T2/LM04_171033_19890227,ROI_0296
L4,LANDSAT/LT04/C02/T2/LT04_228087_19890821,LANDSAT/LM04/C02/T2/LM04_228087_19890821,ROI_0304
L4,LANDSAT/LT04/C02/T2/LT04_030039_19821213,LANDSAT/LM04/C02/T2/LM04_030039_19821213,ROI_0318
